id,created_at,total_price,financial_status,order_number
1.83031E+12,10/28/19,8,paid,1354
1.91227E+12,12/12/19,35,paid,3846
1.91245E+12,12/12/19,55,paid,3855
1.91464E+12,12/13/19,16,paid,3963
1.93625E+12,12/29/19,8,paid,5740
1.94121E+12,1/2/20,32,paid,6231
1.98555E+12,1/30/20,0,paid,11277
2.00509E+12,2/11/20,12,paid,14303
2.00509E+12,2/11/20,8,paid,14326
2.0061E+12,2/12/20,16,paid,14507
2.00636E+12,2/12/20,8,paid,14638
2.01409E+12,2/20/20,8,paid,16155
2.0141E+12,2/20/20,8,paid,16171
2.01439E+12,2/20/20,8,paid,16717
2.0144E+12,2/20/20,8,paid,16751
2.01441E+12,2/20/20,8,paid,16800
2.01453E+12,2/20/20,16,paid,17295
2.01537E+12,2/21/20,8,paid,17614
2.01537E+12,2/21/20,8,paid,17621
2.01539E+12,2/21/20,8,paid,17742
2.01542E+12,2/21/20,8,paid,17865
2.01542E+12,2/21/20,8,paid,17901
2.01625E+12,2/22/20,8,paid,18516
2.01634E+12,2/22/20,8,paid,18650
2.01634E+12,2/22/20,8,paid,18667
2.01634E+12,2/22/20,8,paid,18690
2.01634E+12,2/22/20,8,paid,18717
2.01733E+12,2/23/20,8,paid,19330
2.01835E+12,2/24/20,8,paid,20099
2.01841E+12,2/24/20,8,paid,20448
2.01842E+12,2/24/20,8,paid,20572
2.01843E+12,2/24/20,16,paid,20692
2.01929E+12,2/25/20,16,paid,20886
2.01957E+12,2/25/20,8,paid,21117
2.01961E+12,2/25/20,8,paid,21534
2.02114E+12,2/26/20,8,paid,22040
2.02478E+12,2/29/20,14,paid,24380
2.0248E+12,2/29/20,8,paid,24515
2.02481E+12,2/29/20,8,paid,24579
2.0255E+12,2/29/20,8,paid,25889
2.02603E+12,3/1/20,8,paid,26107
2.02608E+12,3/1/20,14,paid,26454
2.02611E+12,3/1/20,8,paid,26690
2.02616E+12,3/1/20,8,paid,27078
2.02739E+12,3/2/20,8,paid,27664
2.02739E+12,3/2/20,8,paid,27673
2.02743E+12,3/2/20,8,paid,28002
2.02744E+12,3/2/20,5,paid,28108
2.03001E+12,3/4/20,8,paid,29310
2.03005E+12,3/4/20,24,paid,29619
2.03006E+12,3/4/20,8,paid,29755
2.03127E+12,3/5/20,8,paid,30465
2.0313E+12,3/5/20,8,paid,30810
2.03248E+12,3/6/20,8,paid,31482
2.03365E+12,3/7/20,8,paid,31948
2.03367E+12,3/7/20,8,paid,32182
2.03368E+12,3/7/20,8,paid,32305
2.03369E+12,3/7/20,15.99,paid,32368
2.03475E+12,3/8/20,8,paid,32944
2.03476E+12,3/8/20,8,paid,33119
2.03476E+12,3/8/20,8,paid,33126
2.03477E+12,3/8/20,8,paid,33148
2.03479E+12,3/8/20,8,paid,33426
2.03555E+12,3/9/20,8,paid,33577
2.03581E+12,3/9/20,8,paid,33931
2.03687E+12,3/10/20,8,paid,34920
2.0369E+12,3/10/20,8,paid,35183
2.0369E+12,3/10/20,8,paid,35201
2.0369E+12,3/10/20,8,paid,35202
2.0369E+12,3/10/20,8,paid,35217
2.03801E+12,3/11/20,12,paid,36023
2.03912E+12,3/12/20,8,paid,36869
2.04223E+12,3/14/20,8,paid,38491
2.04224E+12,3/14/20,8,paid,38533
2.04228E+12,3/14/20,8,paid,38757
2.04409E+12,3/15/20,8,paid,39472
2.04409E+12,3/15/20,8,paid,39499
2.04411E+12,3/15/20,8,paid,39620
2.04415E+12,3/15/20,8,paid,39839
2.04592E+12,3/16/20,8,paid,40199
2.04593E+12,3/16/20,6,paid,40231
2.04719E+12,3/16/20,0,paid,40873
2.0495E+12,3/18/20,8,paid,41874
2.04951E+12,3/18/20,8,paid,41972
2.04953E+12,3/18/20,8,paid,42161
2.04953E+12,3/18/20,8,paid,42219
2.0534E+12,3/20/20,12,paid,43479
2.05463E+12,3/21/20,8,paid,44438
2.05466E+12,3/21/20,8,paid,44768
2.05586E+12,3/22/20,8,paid,45410
2.05592E+12,3/22/20,8,paid,45865
2.05592E+12,3/22/20,8,paid,45873
2.05702E+12,3/23/20,8,paid,46025
2.05707E+12,3/23/20,8,paid,46338
2.05758E+12,3/23/20,0,paid,46642
2.05841E+12,3/24/20,8,paid,47158
2.05843E+12,3/24/20,8,paid,47280
2.05964E+12,3/25/20,8,paid,47699
2.05966E+12,3/25/20,8,paid,47866
2.05967E+12,3/25/20,8,paid,47996
2.05968E+12,3/25/20,8,paid,48030
2.05968E+12,3/25/20,8,paid,48053
2.05968E+12,3/25/20,8,paid,48063
2.06097E+12,3/26/20,12,paid,48757
2.06254E+12,3/27/20,16,paid,49328
2.06255E+12,3/27/20,8,paid,49419
2.06356E+12,3/28/20,0,paid,49763
2.0639E+12,3/28/20,8,paid,49859
2.06391E+12,3/28/20,8,paid,49868
2.06391E+12,3/28/20,8,paid,49872
